Geo Point;Geo Shape;ID_REF_ZDL;NOM_LONG;LABEL;IDREFLIGA;IDREFLIGC;RES_COM;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;EXPLOITANT;PRINCIPAL;IDF;X;Y
48.8826810449, 2.85431592783;"{""type"": ""Point"", ""coordinates"": [2.854315927832516, 48.882681044872704]}";47327;COUILLY-SAINT-GERMAIN-QUINCY;COUILLY-SAINT-GERMAIN-QUINCY;A01844;;LIGNE P;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;689315.971;6864750.261
48.8137984812, 3.04293826741;"{""type"": ""Point"", ""coordinates"": [3.042938267407244, 48.81379848122762]}";47943;MOUROUX;MOUROUX;A01844;;LIGNE P;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;703153.129;6857081.922
48.8085020653, 3.08034301057;"{""type"": ""Point"", ""coordinates"": [3.080343010570905, 48.80850206529479]}";43117;COULOMMIERS;COULOMMIERS;A01844;;LIGNE P;Train;1;1;0;0;0;0;0;TRAIN_P;TRAIN_P;0;0;0;0;0;SNCF;1;1;705900.508;6856495.155
48.8349477223, 2.36812632906;"{""type"": ""Point"", ""coordinates"": [2.368126329061812, 48.83494772234805]}";45267;CHEVALERET;Chevaleret;A01539;;M6;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;653618.293;6859618.266
48.8297905137, 2.35041487065;"{""type"": ""Point"", ""coordinates"": [2.350414870648404, 48.829790513685566]}";45274;CORVISART;Corvisart;A01539;;M6;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;652313.522;6859055.391
48.8758906819, 2.34412603046;"{""type"": ""Point"", ""coordinates"": [2.344126030464426, 48.87589068189371]}";42414;CADET;Cadet;A01540;;M7;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651894.442;6864185.122
48.8748743434, 2.34019988439;"{""type"": ""Point"", ""coordinates"": [2.34019988438517, 48.87487434337737]}";43656;LE PELETIER;Le Peletier;A01540;;M7;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651605.539;6864074.511
48.8585538273, 2.34223275799;"{""type"": ""Point"", ""coordinates"": [2.342232757993842, 48.85855382725849]}";44491;PONT-NEUF (LA MONNAIE);Pont-Neuf;A01540;;M7;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651739.524;6862258.554
48.8535754734, 2.35716256888;"{""type"": ""Point"", ""coordinates"": [2.357162568881776, 48.85357547338822]}";44487;PONT-MARIE (CITE DES ARTS);Pont-Marie;A01540;;M7;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;652830.395;6861695.983
48.8428668307, 2.35222472818;"{""type"": ""Point"", ""coordinates"": [2.352224728183084, 48.84286683068266]}";44435;PLACE MONGE (JARDIN DES PLANTES);Place Monge;A01540;;M7;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;652458.31;6860508.245
48.8264260109, 2.35724565076;"{""type"": ""Point"", ""coordinates"": [2.357245650758686, 48.826426010875664]}";58740;TOLBIAC;Tolbiac;A01540;;M7;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;652811.918;6858677.194
48.8700997328, 2.32516410954;"{""type"": ""Point"", ""coordinates"": [2.325164109535879, 48.87009973284847]}";43898;MADELEINE;Madeleine;A01541 / A01545 / A01547;;M8 / M12 / M14;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650498.197;6863552.93
48.8706776818, 2.33235463926;"{""type"": ""Point"", ""coordinates"": [2.33235463926327, 48.870677681844235]}";42237;OPERA;Opra;A01536 / A01540 / A01541;;M3 / M7 / M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651026.18;6863612.71
48.8444086721, 2.39007511282;"{""type"": ""Point"", ""coordinates"": [2.39007511282003, 48.844408672078906]}";44160;MONTGALLET;Montgallet;A01541;;M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;655237.502;6860657.56
48.837117007, 2.40233316592;"{""type"": ""Point"", ""coordinates"": [2.402333165917444, 48.83711700699553]}";44140;MICHEL BIZOT;Michel Bizot;A01541;;M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;656130.969;6859839.919
48.8321105601, 2.23863934858;"{""type"": ""Point"", ""coordinates"": [2.238639348575401, 48.832110560110216]}";42334;BILLANCOURT;Billancourt;A01542;;M9;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;644110.73;6859386.661
48.4273625842, 2.1452465929;"{""type"": ""Point"", ""coordinates"": [2.145246592903116, 48.42736258418355]}";47115;SAINT-MARTIN-D'ETAMPES;SAINT-MARTIN-D'TAMPES;A01840;;RER C;RER;1;0;1;0;0;0;0;RER_C;0;RER_C;0;0;0;0;SNCF;1;1;636768.215;6814462.227
48.6055558264, 2.46245649414;"{""type"": ""Point"", ""coordinates"": [2.462456494136039, 48.60555582638452]}";45759;ESSONNES-ROBINSON;ESSONNES ROBINSON;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;660368.715;6834063.388
48.5738077936, 2.4794691696;"{""type"": ""Point"", ""coordinates"": [2.479469169601778, 48.57380779355899]}";45820;LE PLESSIS-CHENET;LE PLESSIS-CHENET;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;661599.718;6830525.647
48.5661178207, 2.49271300288;"{""type"": ""Point"", ""coordinates"": [2.492713002881577, 48.5661178207362]}";45824;LE COUDRAY-MONTCEAUX;LE COUDRAY-MONTCEAUX;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;662571.229;6829664.429
48.3416635464, 2.37881544464;"{""type"": ""Point"", ""coordinates"": [2.378815444640189, 48.34166354642523]}";43092;BOIGNEVILLE;BOIGNEVILLE;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;653971.495;6804775.446
48.8104024635, 1.76505675794;"{""type"": ""Point"", ""coordinates"": [1.765056757940473, 48.81040246347339]}";47903;GARANCIERES-LA QUEUE;GARANCIRES LA QUEUE;A01847;;LIGNE N;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;609310.951;6857412.645
49.0387620448, 1.58153210234;"{""type"": ""Point"", ""coordinates"": [1.581532102335019, 49.0387620447533]}";46984;BONNIERES;BONNIRES;;;GL;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;596291.177;6883029.025
