idGare;idLigne;ordre;PDLFond;PDLPoint;vCreation;vMaj;vSuppression
SNCF01483;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01487;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01488;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01493;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF02200;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01920;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01921;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01922;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01923;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01928;SNCF_CentreVdL_U;0;0;0;106;0;0
411498;SNCF_CentreVdL_U;0;0;0;106;0;0
411501;SNCF_CentreVdL_U;0;0;0;106;0;0
411492;SNCF_CentreVdL_U;0;0;0;106;0;0
411495;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01925;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01929;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01930;SNCF_CentreVdL_U;0;0;0;106;0;0
411504;SNCF_CentreVdL_U;0;0;0;106;0;0
59302;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01938;SNCF_CentreVdL_U;0;0;0;106;0;0
411507;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01081;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01088;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01089;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01307;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01308;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01309;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01310;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01316;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01325;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01328;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01336;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01363;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01370;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01374;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01376;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01393;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01397;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01407;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01408;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01409;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01413;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01415;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01428;SNCF_CentreVdL_U;0;0;0;106;0;0
411449;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01482;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01486;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01490;SNCF_CentreVdL_U;0;0;0;106;0;0
411482;SNCF_CentreVdL_U;0;0;0;106;0;0
411482;CentreVdL_RERIdF;0;0;0;125;0;0
58955;SNCF_CentreVdL_U;0;0;0;106;0;0
58955;CentreVdL_RERIdF;0;0;0;125;0;0
SNCF01312;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01318;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01321;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01322;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01331;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01365;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01371;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01380;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01385;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF00757;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01386;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01388;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01394;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01403;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01417;SNCF_CentreVdL_U;0;0;0;106;0;0
SNCF01418;SNCF_CentreVdL_U;0;0;0;106;0;0
