idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
SNCF01314;Avord;SNCF;47.0349061;2.6523757;1;6;102;0;0
SNCF01315;Saint-Germain-du-Puy;SNCF;47.0965233;2.4846102;2;6;102;0;0
SNCF01327;Bourges;SNCF;47.094145;2.394255;3;2;102;0;0
SNCF01329;Les Quatre Roues;SNCF;47.3325521;1.7025282;4;7;102;0;0
SNCF01330;Faubourg d'Orléans;SNCF;47.3669948;1.7403794;5;7;102;0;0
SNCF01338;La Ferté-Imbault;SNCF;47.3835442;1.9580537;6;1;102;0;0
SNCF01339;Romorantin Blanc Argent;SNCF;47.3554468;1.7390137;7;6;102;0;0
SNCF01369;Montrichard;SNCF;47.3437658;1.1717596;4;7;102;0;0
SNCF01377;Fréteval - Morée;SNCF;47.8919172;1.211813;5;0;102;0;0
SNCF01382;Azay-sur-Cher;SNCF;47.3652695;0.8599885;6;3;102;0;0
SNCF01389;Chouzy;SNCF;47.5203249;1.247846;7;5;102;0;0
SNCF01399;Blois - Chambord;SNCF;47.585445;1.323823;0;3;102;0;0
SNCF01401;Saint-Genouph;SNCF;47.3710109;0.5969502;1;6;102;0;0
SNCF01419;Reignac;SNCF;47.2178494;0.9013322;2;1;102;0;0
SNCF01426;Saint-Pierre-des-Corps;SNCF;47.386099;0.723550;3;1;102;0;0
411443;Châteaudun;SNCF;48.0734070101;1.3384347632;6;0;13;104;0
59049;Auneau;SNCF;48.4452537046;1.77958370837;5;3;13;104;0
SNCF01476;La Chapelle-Saint-Mesmin;SNCF;47.8929293;1.8268193;6;1;102;0;0
SNCF01478;Theillay;SNCF;47.3139904;2.0443867;7;2;102;0;0
SNCF01480;Salbris;SNCF;47.42522;2.04778;0;7;102;0;0
SNCF01483;La Ferté-Saint-Aubin;SNCF;47.720975;1.932360;1;5;102;0;0
SNCF01487;Toury;SNCF;48.193606;1.939565;2;7;102;0;0
SNCF01488;Château-Gaillard;SNCF;48.1416904;1.9128148;3;6;102;0;0
SNCF01493;Orléans;SNCF;47.907960;1.904666;4;3;102;0;0
SNCF02200;Thésée;SNCF;47.322271;1.3120568;6;4;102;0;0
SNCF01920;Brou;SNCF;48.2157588;1.1606705;1;5;102;0;0
SNCF01921;Illiers-Combray;SNCF;48.303937;1.2448745;2;1;102;0;0
SNCF01922;Magny - Blandainville;SNCF;48.3342906;1.2811066;6;3;102;0;0
SNCF01923;Bailleau-le-pin;SNCF;48.3668028;1.3248851;7;6;102;0;0
SNCF01928;La Loupe;SNCF;48.4737398;1.0109416;1;4;102;0;0
411498;Jouy;SNCF;48.5104473928;1.55777636925;2;6;13;104;0
411501;Saint-Piat;SNCF;48.5421836112;1.58998527987;3;5;13;104;0
411492;Dreux;SNCF;48.73095467;1.36997423412;6;3;13;102;0
411495;Marchezais - Broué;SNCF;48.7684217766;1.51333305235;2;5;13;102;0
SNCF01925;Nogent-le-Rotrou;SNCF;48.3255926;0.8103045;4;7;102;0;0
SNCF01929;Pontgouin;SNCF;48.477867;1.1414359;5;6;102;0;0
SNCF01930;Courville-sur-Eure;SNCF;48.451236;1.234836;6;0;102;0;0
411504;La Villette Saint-Prest;SNCF;48.4824105013;1.52235765163;3;2;13;104;0
59302;Maintenon;SNCF;48.5852787101;1.5924579153;0;1;13;104;0
SNCF01938;Lucé;SNCF;48.4366725;1.4529681;1;5;102;0;0
411507;Chartres;SNCF;48.448384567;1.48087093272;7;2;13;104;0
SNCF01081;Éguzon;SNCF;46.4397694;1.5521707;2;0;102;0;0
SNCF01088;Sainte-Lizaigne;SNCF;47.002251;2.0298004;3;2;102;0;0
SNCF01089;Reuilly;SNCF;47.0853677;2.0474783;4;3;102;0;0
SNCF01307;Villefranche-sur-Cher;SNCF;47.2948034;1.768094;0;5;102;0;0
SNCF01308;Gièvres;SNCF;47.2787925;1.6678267;1;0;102;0;0
SNCF01309;Selles-sur-Cher;SNCF;47.2816956;1.5461989;2;1;102;0;0
SNCF01310;Mennetou-sur-Cher;SNCF;47.2688835;1.8765238;3;4;102;0;0
SNCF01316;Luçay-le-Mâle;SNCF;47.1329836;1.4358257;4;1;102;0;0
SNCF01325;Chabris;SNCF;47.2549836;1.6459424;5;4;102;0;0
SNCF01328;Pruniers;SNCF;47.313174;1.6722045;6;1;102;0;0
SNCF01336;Foëcy;SNCF;47.1756905;2.1625062;7;4;102;0;0
SNCF01363;Maillé;SNCF;47.0533855;0.5830236;2;0;102;0;0
SNCF01370;Chissay-en-Touraine;SNCF;47.3349004;1.1333044;3;6;102;0;0
SNCF01374;Saint-Amand de Vendôme;SNCF;47.693141;1.0119896;4;2;102;0;0
SNCF01376;Pezou;SNCF;47.8673364;1.1408714;5;2;102;0;0
SNCF01393;Mer;SNCF;47.705860;1.506373;6;1;102;0;0
SNCF01397;Saint-Ay;SNCF;47.863133;1.7499597;3;6;102;0;0
SNCF01407;Port Boulet;SNCF;47.248836;0.155648;4;7;102;0;0
SNCF01408;Chinon;SNCF;47.163047;0.251538;5;3;102;0;0
SNCF01409;Rivarennes;SNCF;47.2677425;0.3618999;6;0;102;0;0
SNCF01413;Saint-Paterne;SNCF;47.6042003;0.4783289;7;4;102;0;0
SNCF01415;Saint-Antoine-du-Rocher;SNCF;47.503839;0.6164676;0;7;102;0;0
SNCF01428;Tours;SNCF;47.389781;0.693703;1;6;102;0;0
411449;Voves;SNCF;48.2746323892;1.62149862568;2;7;13;104;0
SNCF01482;Lamotte-Beuvron;SNCF;47.593898;2.022499;3;2;102;0;0
SNCF01486;Boisseaux;SNCF;48.2566238;1.9727681;4;5;102;0;0
SNCF01490;Chevilly;SNCF;48.0266215;1.8793013;5;0;102;0;0
411482;Montargis;SNCF;48.0070317015;2.74303831268;1;2;13;102;0
58955;Dordives;SNCF;48.1472180399;2.7627283872;3;6;13;102;0
SNCF01312;Nérondes;SNCF;46.9996897;2.8221695;0;3;102;0;0
SNCF01318;Urçay;SNCF;46.6295123;2.5865708;1;6;102;0;0
SNCF01321;Châteauneuf-sur-Cher;SNCF;46.8568144;2.3103826;2;6;102;0;0
SNCF01322;Lunery;SNCF;46.9351795;2.275014;3;1;102;0;0
SNCF01331;Villeherviers;SNCF;47.3694005;1.7972555;4;1;102;0;0
SNCF01365;Villeperdue;SNCF;47.2020438;0.6336449;1;4;102;0;0
SNCF01371;Notre-Dame-d'Oé;SNCF;47.4595668;0.7070252;2;1;102;0;0
SNCF01380;Bléré la Croix;SNCF;47.3377228;0.9877583;3;1;102;0;0
SNCF01385;Amboise;SNCF;47.421480;0.981299;4;3;102;0;0
SNCF00757;Nogent-sur-Vernisson;SNCF;47.8527938;2.7375773;1;5;102;0;0
SNCF01386;Limeray;SNCF;47.4502088;1.0499661;0;7;102;0;0
SNCF01388;Onzain - Chaumont-sur-Loire;SNCF;47.49200;1.18595;1;4;102;0;0
SNCF01394;Beaugency;SNCF;47.778365;1.625938;2;3;102;0;0
SNCF01403;Cinq-Mars-la-Pile;SNCF;47.3452264;0.4604878;3;4;102;0;0
SNCF01417;Loches;SNCF;47.130464;1.000467;4;2;102;0;0
SNCF01418;Chambourg;SNCF;47.1821629;0.9648363;5;6;102;0;0
