idExterne;nom;type;ordre;couleur;vCreation;vMaj;vSuppression
SNCF_CentreVdL_U;Rémi Centre-Val de Loire;Train;10916000;#333333;106;137;0
CentreVdL_RERIdF;Grandes Lignes;Train;10996000;#333333;125;130;0
